285,126,287,172
288,126,303,172
304,126,319,172
320,126,335,172
336,126,351,172
352,126,367,172
368,126,383,172
384,126,399,172
400,126,415,172
416,126,431,172
432,126,447,172
448,126,463,172
464,126,479,172
480,126,495,172
210,133,223,183
224,133,239,183
240,133,255,183
288,172,303,191
304,172,319,191
320,172,335,191
336,172,351,191
352,172,367,191
368,172,383,191
384,172,399,191
400,172,415,191
416,172,431,191
432,172,447,191
448,172,463,191
464,172,479,191
468,210,479,257
480,210,495,257
496,210,511,257
512,210,527,257
528,210,543,257
544,210,559,257
560,210,575,257
463,260,463,286
464,260,479,286
480,260,495,286
496,260,511,286
512,260,527,286
528,260,543,286
544,260,559,286
560,260,575,286
576,260,591,286
592,260,607,286
608,260,623,286
388,297,399,324
400,297,415,324
416,297,431,324
432,297,447,324
448,297,463,324
464,297,479,324
480,297,495,324
496,297,511,324
512,297,527,324
528,297,543,324
544,297,559,324
560,297,575,324
576,297,591,324
592,297,607,324
608,297,623,324
624,297,639,324
640,297,655,324
656,297,671,324
672,297,687,324
688,297,703,324
704,297,719,324
720,297,735,324
389,324,399,342
400,324,415,342
416,324,431,342
432,324,447,342
448,324,463,342
464,324,479,342
480,324,495,342
496,324,511,342
512,324,527,342
528,324,543,342
544,324,559,342
560,324,575,342
576,324,591,342
592,324,607,342
608,324,623,342
624,324,639,342
640,324,655,342
656,324,671,342
672,324,687,342
688,324,703,342
704,324,719,342
720,324,735,342
388,347,399,372
400,347,415,372
416,347,431,372
432,347,447,372
448,347,463,372
464,347,479,372
480,347,495,372
496,347,511,372
512,347,527,372
528,347,543,372
544,347,559,372
560,347,575,372
576,347,591,372
592,347,607,372
608,347,623,372
624,347,639,372
640,347,655,372
656,347,671,372
672,347,687,372
688,347,703,372
704,347,719,372
720,347,735,372
736,347,751,372
388,372,399,395
400,372,415,395
416,372,431,395
432,372,447,395
448,372,463,395
464,372,479,395
480,372,495,395
496,372,511,395
512,372,527,395
528,372,543,395
544,372,559,395
560,372,575,395
576,372,591,395
592,372,607,395
608,372,623,395
624,372,639,395
387,397,399,422
400,397,415,422
416,397,431,422
432,397,447,422
448,397,463,422
464,397,479,422
480,397,495,422
496,397,511,422
512,397,527,422
528,397,543,422
544,397,559,422
560,397,575,422
598,400,607,425
608,400,623,425
624,400,639,425
640,400,655,425
656,400,671,425
672,400,687,425
688,400,703,425
704,400,719,425
720,400,735,425
736,400,751,425
249,339,255,363
256,339,271,363
